degree,All Hard Skills,No. of Hard Skills
Materials Engineering,"['Sintering', 'Working Drawings', 'Composites', 'Drawing', 'Metal Forming', 'Qualitative Analysis', 'Fluid Statics', 'Calorimetry', 'Elastic', 'Transport Phenomena', 'Organic Synthesis', 'Nucleation', 'Column Chromatography', 'Fabrication', 'Data Acquisition', 'Fatigue', 'Engineering Practices', 'Statistics', 'Ceramic Materials', 'Research And Development', 'Physics', 'Application', 'Laboratory Techniques', 'Alternating Current', 'Thermal Analysis', 'Environment', 'Organic Compounds', 'Production', 'Injection Molding', 'Engineering Research', 'Rolling', 'Waste Management', 'Molding', 'Capacitors', 'Chemical Reactions', 'Organic Chemistry', 'Distillation', 'Service', 'ANOVA', 'Extrusion', 'Binary Systems', 'Forging', 'Imaging', 'Casting', 'Science', 'Deformation', 'Random Variables', 'Biochemistry', 'Ceramics', 'Framework', 'Legislation', 'Resistors', 'Spectroscopy', 'Engineering', 'Assembly', 'CAD', 'Compressive Strength', 'Descriptive Geometry', 'Kinematics', 'Heat Transfer', 'Failure Analysis', 'Rigid Bodies', 'Probability', 'Non-Destructive Testing', 'Vibrations', 'Geometry', 'Microstructure', 'Optics', 'Calculations', 'Sample Preparation', 'Semiconductors', 'Electronics', 'Precipitation', 'Direct Current', 'Materials Engineering', 'Investment Decisions', 'Fluid', 'Sustainable Development', 'Scale', 'Advanced Mathematics', 'Equations', 'Energy', 'Dimensioning', 'Sampling', 'Machining', 'Differential Equations', 'Material', 'Derivatives', 'Chromatography', 'Economy', 'Chemistry', 'Reliability Testing', 'Statistical Software', 'Statistical software', 'Plant Design', 'Statistical Analysis', 'Waves', 'Waste Treatment', 'Destructive Testing', 'Time Value Of Money', 'ImPACT', 'STATISTICA', 'Electricity', 'Experimental Design', 'Acceptance Sampling']",105
Mathematics,"['Algorithms', 'Simplex Algorithm', 'Error Analysis', 'Recursion', 'Polynomials', 'API', 'Coefficients', 'Polymorphism', 'Linear Algebra', 'Linear Systems', 'Equations', 'Calculus', 'Engineering', 'Securities', 'Isomorphism', 'Differential Equations', 'Data Structures', 'Abstract Data Types', 'Linear Programming', 'Numerical Differentiation', 'Derivatives', 'Sensitivity Analysis', 'C++', 'Life Sciences', 'Abstract Algebra', 'Permutation', 'Analytic Functions', 'Systems Of Equations', 'Object-Oriented Programming', 'Topology', 'Eigenvalues And Eigenvectors', 'C', 'Reciprocity', 'Probability', 'C Programming Language', 'Control Structures', 'Java', 'Object-oriented programming languages', 'Programming Concepts', 'Differentials', 'Geometry', 'Statistics', 'Linear Equations', 'Algebra', 'Programming languages', 'Mathematical Analysis', 'Euclidean Geometry', 'Differential Calculus', 'Polar Coordinates', 'Random Variables', 'Application', 'Exception Handling']",52
Mechanical Engineering,"['Clipper', 'Working Drawings', 'Compressors', 'ACT', 'Drilling', 'Alternators', 'Foundry', 'ME', 'Calorimetry', 'Welding', 'Manufacturing', 'Conservation', 'Engineering Practices', 'Statistics', 'Application', 'Transformers', 'Engines', 'Sheet Metal', 'Feedback Control', 'Alternating Current', 'Mills', 'Grinding', 'Compression', 'Environment', 'Brake', 'Production', 'Thermodynamics', 'Numerical Differentiation', 'Fuel Injection', 'Control Systems', 'Engineering Research', 'Rolling', 'Hand Tools', 'Displacement', 'Service', 'Steam Power Plant', 'Cutter', 'Transistor', 'Metallurgy', 'Random Variables', 'Casting', 'Manufacturing Process', 'Installation', 'Mechanical Engineering', 'Mass Transfer', 'Engineering', 'Assembly', 'CAD', 'Descriptive Geometry', 'Kinematics', 'Power Generation', 'Machine Tools', 'Ventilation', 'Heat Transfer', 'Lathes', 'Rigid Bodies', 'Probability', 'Gas', 'Geometry', 'Inertia', 'Optics', 'Calculations', 'Electronics', 'Direct Current', 'Investment Decisions', 'Turbines', 'Mechanical Systems', 'Fluid', 'Steam Turbine', 'Scale', 'Advanced Mathematics', 'Equations', 'Energy', 'Dimensioning', 'Pulleys', 'Differential Equations', 'Shear', 'Chemistry', 'Statistical Software', 'Statistical software', 'Statistical Analysis', 'Occupational Safety And Health', 'Construction', 'Marketing', 'Occupational Safety', 'Waves', 'Research Design', 'Time Value Of Money', 'Curve Fitting', 'ImPACT', 'Frequency Domain', 'Refrigeration', 'Performance Analysis', 'Linear Equations', 'Electricity', 'Experimental Design', 'Damping']",97
Medical Technology,"['Hematology', 'Medical Technology', 'Microbiology', 'Banking', 'Microscopy', 'Training', 'Serology', 'Education', 'Immunology', 'Parasitology', 'Clinical Chemistry', 'Medical', 'Immunohematology', 'Urinalysis', 'Chemistry', 'Science', 'Blood Banking', 'Medical Laboratory']",18
Metallurgical Engineering,"['Fluid', 'Microscopy', 'Stoichiometry', 'Rehabilitation', 'Advanced Mathematics', 'Application', 'Laboratory Techniques', 'Equations', 'Alternating Current', 'Refining', 'Biotechnology', 'Energy', 'Accounting', 'Engineering', 'CAD', 'Grinding', 'Sampling', 'Environment', 'Fluid Statics', 'Powder Metallurgy', 'Differential Equations', 'Fracture Mechanics', 'Physical Chemistry', 'Training', 'Material', 'Kinematics', 'Composite Materials', 'Thermodynamics', 'Jurisprudence', 'Calorimetry', 'Elastic', 'Chemistry', 'Cast Iron', 'Experimental Design', 'Exploitation', 'Control Systems', 'Heat Transfer', 'Statistical Software', 'Statistical software', 'Failure Analysis', 'Rigid Bodies', 'Metallurgical Engineering', 'Probability', 'Data Presentation', 'Statistical Analysis', 'Service', 'Waves', 'Fatigue', 'Electrowinning', 'ImPACT', 'Dewatering', 'Statistics', 'Crystallography', 'Optics', 'Calculations', 'Mechanics', 'Casting', 'Random Variables', 'Environmental Regulations', 'Metallurgy', 'Physics', 'Roasting', 'Direct Current', 'Electricity', 'Underground Mining', 'Wastewater', 'Science', 'Deformation', 'Investment Decisions', 'Ceramics']",70
Mining Engineering,"['Fluid', 'Median', 'Scale', 'Surveying Instruments', 'Working Drawings', 'Rehabilitation', 'Advanced Mathematics', 'Equations', 'Application', 'Economics', 'Assembly', 'Engineering', 'Energy', 'Mining Engineering', 'Accounting', 'Surveying', 'Dimensioning', 'CAD', 'Grinding', 'Sampling', 'Descriptive Geometry', 'Technical Writing', 'Compressed Air', 'Environment', 'Regression Analysis', 'Fluid Statics', 'Cartography', 'Differential Equations', 'Slope Stability', 'Cost Estimation', 'Production', 'Kinematics', 'Training', 'Calorimetry', 'Mechanical Ventilation', 'Material', 'Mineral Processing', 'Chemistry', 'Ventilation', 'Exploitation', 'Heat Transfer', 'Geology', 'Feasibility Studies', 'Rigid Bodies', 'Probability', 'Gas', 'Industrial Relations', 'Marketing', 'Statistical Analysis', 'Service', 'Surface Mining', 'Waves', 'Hydrometallurgy', 'Airflow', 'Research Design', 'Coal Mining', 'Time Value Of Money', 'Geometry', 'Engineering Practices', 'Dewatering', 'PIT', 'Crystallography', 'Statistics', 'Environmental Laws', 'Hoisting', 'Optics', 'Calculations', 'Mechanics', 'Operations Research', 'Metallurgy', 'Electricity', 'Underground Mining', 'Haulage', 'Deformation', 'Investment Decisions']",75
Nursing,"['Application', 'Nursing']",2
Nutrition and Dietetics,"['Menu Planning', 'Cancer', 'Pathophysiology', 'Scale', 'Education', 'Quantification', 'Safety Standards', 'Nutrition Education', 'Communicable Diseases', 'Nutrition Counseling', 'Recipes', 'Cost Control', 'Patient Care', 'Cooking', 'Training', 'Production', 'Facilities Planning', 'Food Processing', 'Purchasing', 'Dietetics', 'Medical', 'Entrepreneurship', 'Economy', 'Public Health', 'Nervous Systems', 'Food', 'Skin Disorders', 'Medical Nutrition Therapy', 'Merchandising', 'Ecology', 'Nutrition', 'Catering Management', 'Practicum', 'Service', 'Procurement', 'Laboratory Experience', 'Git', 'Metabolic Disorders', 'Food Safety And Sanitation', 'Community Nutrition', 'Science', 'Application', 'Dissemination', 'Nutritional Assessment']",44
Occupational Therapy,"['Education', 'Occupational Therapy', 'Science']",3
Optometry,"['Optics', 'Education', 'Biology', 'Medical', 'Science', 'Optometry']",6
Pharmacy,"['Infectious Diseases', 'Microbiology', 'Pharmaceutical', 'Pharmacy', 'Morphology']",5
Physical Therapy,"['Training', 'Education', 'Rehabilitation', 'Geriatrics', 'Anatomy', 'Science', 'Physical Therapy']",7
Physics,"['Secondary Education', 'Dielectrics', 'On-The-Job Training', 'Education', 'Linear Algebra', 'Digital Electronics', 'Laboratory Techniques', 'Equations', 'Polarization', 'Calculus', 'Photoelectric Effect', 'Quantum Mechanics', 'Energy', 'Spectroscopy', 'Intellectual Property', 'Differential Equations', 'Computer Programming', 'Thermodynamic Systems', 'Training', 'Geometrical Optics', 'Property Rights', 'Modern Physics', 'Thermodynamics', 'Health Physics', 'Classical Physics', 'Entrepreneurship', 'Mathematical Physics', 'Electromagnetic Waves', 'Transport Phenomena', 'Astrophysics', 'Relativistic Mechanics', 'Electronic Systems', 'Self', 'Refractive Index', 'Laboratory Equipment', 'Optical Waveguides', 'Laser', 'Rigid Bodies', 'Probability', 'Quantization', 'Gas', 'Atomic Physics', 'Conservation', 'Instrumentation', 'Numerical Analysis', 'Marketing', 'ASA', 'Waves', 'Differential Geometry', 'Vibrations', 'Statistical Methods', 'Geometry', 'Physical Optics', 'Data Processing', 'Statistics', 'Molecular Physics', 'Algebra', 'Acoustics', 'Optics', 'Wave Mechanics', 'Semiconductor Lasers', 'Mechanics', 'Physics', 'Electronics', 'Electricity', 'Continuum Mechanics', 'Computational Physics', 'Electromagnetism', 'Laser Applications', 'Application', 'Holography', 'Digital']",72
Psychology,"['Experimentation', 'Psychological Intervention', 'Profiling', 'Education', 'ACT', 'Surveying', 'Mental Health', 'Social Psychology', 'Educational Psychology', 'Psychological Testing', 'Training', 'Human Resource Management', 'Organizational Change', 'Clinical Psychology', 'Focus Group', 'Empirical Research', 'Research Reports', 'Disabilities', 'Abnormal Psychology', 'Conceptual Framework', 'Self', 'Disaster Preparedness', 'Practicum', 'Construction', 'Psychology', 'Conflict Resolution', 'ImPACT', 'Statistics', 'Group Dynamics', 'Resource Management', 'Neuroscience', 'Science', 'Application', 'Human Development', 'Framework']",35
Radiologic Technology,"['Education', 'Application', 'Image Quality', 'Communicating With Patients', 'Technology Education', 'Radiography', 'Breast Imaging', 'Infection Control', 'Mammography', 'Digital Imaging', 'Patient Care', 'Media', 'Production', 'Angiography', 'Certain', 'Radiation Protection', 'Jurisprudence', 'Contrast Media Administration', 'Nuclear Medicine', 'Medical', 'Entrepreneurship', 'Informatics', 'Preventive Maintenance', 'Medical Jurisprudence', 'Ionizing Radiation', 'Medicine', 'Medical Diagnosis', 'Radiology', 'Instrumentation', 'Service', 'Pharmacology', 'Infection', 'Patient Education', 'Knowledge Base', 'ImPACT', 'Therapeutic Modalities', 'Contrast Medium', 'Archives', 'Regulatory Requirements', 'Anatomy', 'Medical Imaging', 'Electromagnetism', 'Electricity', 'Patient Preparation', 'Imaging', 'Oncology', 'X-Rays', 'Transformers', 'Digital']",49
SHS,"['Sociology', 'Scale', 'Education', 'Qualitative Research', 'Environment', 'Logarithmic Functions', 'Media', 'Cultural Diversity', 'Quantitative Research', 'Anthropology', 'Physical Education', 'Psychology', 'Stage', 'Tool', 'Experiential Learning', 'Health Literacy', 'Science', 'Application', 'Human Development']",19
Social Work Program,"['Social Work', 'Education', 'Justice', 'Service', 'Application', 'Social Justice', 'Human Development']",7
Speech Language Pathology,"['Clinical Reasoning', 'Cancer', 'Hygiene', 'Audiometry', 'Rehabilitation', 'Education', 'Qualitative Research', 'Speech Disorders', 'Articulation', 'Physiology', 'Language Disorders', 'Cleft Lip And Palate', 'Social Support', 'Communication Strategies', 'Training', 'Production', 'Language Acquisition', 'Transcription', 'SKILL', 'Deductive Reasoning', 'Speech-Language Pathology', 'Language Assessment', 'Self', 'Swallowing Disorders', 'Statistical Analysis', 'Instrumentation', 'Etiology', 'Phonology', 'Pathology', 'Differential Diagnosis', 'ImPACT', 'Scientific Writing', 'Stage', 'Anatomy', 'Fluency Disorders', 'Application', 'Communication Disorders', 'Human Development']",38
Statistics,"['Statistical Hypothesis Testing', 'Experimentation', 'Block Design', 'Factor Analysis', 'On-The-Job Training', 'Linear Regression', 'Cluster Analysis', 'HIS', 'Canonical Correlation', 'Sampling', 'Environment', 'Training', 'Indicators', 'Jenkins', 'ARIMA', 'Component Analysis', 'Self', 'Categorical Data', 'Official Statistics', 'Probability', 'Construction', 'Kurtosis', 'Correlation Analysis', 'Analysis Of Covariance', 'Statistics', 'Latin', 'Data Quality', 'Stage', 'Questionnaire Design', 'Time Series', 'Square', 'Completely Randomized Design', 'Normal Distribution', 'Random Variables', 'Application', 'Bayesian Probability', 'Principal Component Analysis']",37
Veterinary Medicine,"['Medicine', 'Education', 'Aquatic Animals', 'Medical', 'Veterinary Medicine', 'Public Health', 'Veterinary', 'Science', 'Medical Science', 'Dissemination', 'Animal Science', 'Environment']",12
